Time [s],Channel 0,Channel 2
5.993034240,1,1
5.998030400,0,1
5.998034240,0,0
6.003030400,1,0
6.003034080,1,1
6.008030240,0,1
6.008034080,0,0
6.013030240,1,0
6.013033920,1,1
6.018030080,0,1
6.018033920,0,0
6.023029920,1,0
6.023033760,1,1
6.028029920,0,1
6.028033760,0,0
6.033029760,1,0
6.033033600,1,1
6.038029760,0,1
6.038033600,0,0
6.043029600,1,0
6.043033440,1,1
6.048029600,0,1
6.048033440,0,0
6.053029440,1,0
6.053033280,1,1
6.058029440,0,1
6.058033280,0,0
6.063029280,1,0
6.063033120,1,1
6.068029280,0,1
6.068033120,0,0
6.073029120,1,0
6.073032960,1,1
6.078028960,0,1
6.078032960,0,0
6.083028960,1,0
6.083032640,1,1
6.088028800,0,1
6.088032640,0,0
6.093028800,1,0
6.093032480,1,1
6.098028640,0,1
6.098032480,0,0
6.103028640,1,0
6.103032320,1,1
6.108028480,0,1
6.108032320,0,0
6.113028320,1,0
6.113032160,1,1
6.118028320,0,1
6.118032160,0,0
6.123028160,1,0
6.123032000,1,1
6.128028160,0,1
6.128032000,0,0
6.133028000,1,0
6.133031840,1,1
6.138028000,0,1
6.138032000,0,0
6.143027840,1,0
6.143031680,1,1
6.148027840,0,1
6.148031680,0,0
6.153027680,1,0
6.153031520,1,1
6.158027680,0,1
6.158031520,0,0
6.163027520,1,0
6.163031360,1,1
6.168027360,0,1
6.168031360,0,0
6.173027360,1,0
6.173031040,1,1
6.178027200,0,1
6.178031040,0,0
6.183027200,1,0
6.183030880,1,1
6.188027040,0,1
6.188030880,0,0
6.193027040,1,0
6.193030720,1,1
6.198026880,0,1
6.198030720,0,0
6.203026720,1,0
6.203030560,1,1
6.208026720,0,1
6.208030560,0,0
6.213026560,1,0
6.213030400,1,1
6.218026560,0,1
6.218030400,0,0
6.223026400,1,0
6.223030240,1,1
6.228026400,0,1
6.228030240,0,0
6.233026240,1,0
6.233030080,1,1
6.238026240,0,1
6.238030080,0,0
6.243026080,1,0
6.243029920,1,1
6.248026080,0,1
6.248029920,0,0
6.253025920,1,0
6.253029760,1,1
6.258025760,0,1
6.258029760,0,0
6.263025760,1,0
6.263029440,1,1
6.268025600,0,1
6.268029440,0,0
6.273025600,1,0
6.273029280,1,1
6.278025440,0,1
6.278029280,0,0
6.283025440,1,0
6.283029120,1,1
6.288025280,0,1
6.288029120,0,0
6.293025120,1,0
6.293028960,1,1
6.298025120,0,1
6.298028960,0,0
6.303024960,1,0
6.303028800,1,1
6.308024960,0,1
6.308028800,0,0
6.313024800,1,0
6.313028800,1,1
6.318024800,0,1
6.318028640,0,0
6.323024640,1,0
6.323028480,1,1
6.328024640,0,1
6.328028480,0,0
6.333024480,1,0
6.333028320,1,1
6.338024480,0,1
6.338028320,0,0
6.343024320,1,0
6.343028160,1,1
6.348024160,0,1
6.348028160,0,0
