Time [s],Channel 0,Channel 2
12.724648000,1,0
12.724702240,1,1
12.725148000,0,1
12.725199520,0,0
12.725648000,1,0
12.725702240,1,1
12.726148000,0,1
12.726198720,0,0
12.726647840,1,0
12.726702240,1,1
12.727147840,0,1
12.727199520,0,0
12.727647840,1,0
12.727702240,1,1
12.728147840,0,1
12.728199040,0,0
12.728647840,1,0
12.728702080,1,1
12.729147840,0,1
12.729199520,0,0
12.729647680,1,0
12.729702240,1,1
12.730147680,0,1
12.730199040,0,0
12.730647680,1,0
12.730701920,1,1
12.731147680,0,1
12.731199360,0,0
12.731647680,1,0
12.731702080,1,1
12.732147520,0,1
12.732199040,0,0
12.732647520,1,0
12.732701760,1,1
12.733147520,0,1
12.733198720,0,0
12.733647520,1,0
12.733702400,1,1
12.734147520,0,1
12.734198880,0,0
12.734647360,1,0
12.734698560,1,1
12.735147360,0,1
12.735198560,0,0
12.735647360,1,0
12.735698880,1,1
12.736147360,0,1
12.736201600,0,0
12.736647360,1,0
12.736698560,1,1
12.737147360,0,1
12.737201440,0,0
12.737647200,1,0
12.737698720,1,1
12.738147200,0,1
12.738201440,0,0
12.738647200,1,0
12.738698240,1,1
12.739147200,0,1
12.739201440,0,0
12.739647200,1,0
12.739698560,1,1
12.740147200,0,1
12.740201280,0,0
12.740647040,1,0
12.740698560,1,1
12.741147040,0,1
12.741201440,0,0
12.741647040,1,0
12.741698240,1,1
12.742147040,0,1
12.742201760,0,0
12.742647040,1,0
12.742698240,1,1
12.743146880,0,1
12.743201440,0,0
12.743646880,1,0
12.743698720,1,1
12.744146880,0,1
12.744201440,0,0
12.744646880,1,0
12.744698240,1,1
12.745146880,0,1
12.745198080,0,0
12.745646720,1,0
12.745698240,1,1
12.746146720,0,1
12.746198080,0,0
12.746646720,1,0
12.746700960,1,1
12.747146720,0,1
12.747197920,0,0
12.747646720,1,0
12.747701280,1,1
12.748146720,0,1
12.748198400,0,0
12.748646560,1,0
12.748701120,1,1
12.749146560,0,1
12.749197760,0,0
12.749646560,1,0
12.749700800,1,1
12.750146560,0,1
12.750198080,0,0
12.750646560,1,0
12.750700800,1,1
12.751146560,0,1
12.751197600,0,0
